Year,Spol,Uzrok smrti (prema šiframa bolesti po MKB-10),UNIT_MEASURE,Value
2007,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,317
2007,Oba spola,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2007,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,18516
2007,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1145
2007,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,924
2007,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,10
2007,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,32
2007,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,558
2007,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2007,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,133
2007,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,54
2007,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2219
2007,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1030
2007,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,267
2007,Oba spola,Nepoznato,Broj,1076
2007,Oba spola,Ukupno,Broj,35044
2007,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,164
2007,M,"(C00-C97,D00-D48) Neoplazme",Broj,3983
2007,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,22
2007,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,609
2007,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,113
2007,M,(G00-G99) Bolesti nervnog sistema,Broj,161
2007,M,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2007,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8697
2007,M,(J00-J99) Bolesti respiratornog sistema,Broj,664
2007,M,(K00-K93) Bolesti digestivnog sistema,Broj,570
2007,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,4
2007,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,9
2007,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,320
2007,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,79
2007,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,28
2007,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1143
2007,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,766
2007,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,199
2007,M,Nepoznato,Broj,622
2007,M,Ukupno,Broj,18154
2007,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,86
2007,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2730
2007,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,32
2007,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,973
2007,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,49
2007,Ž,(G00-G99) Bolesti nervnog sistema,Broj,156
2007,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9819
2007,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,481
2007,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,354
2007,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,6
2007,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,23
2007,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,238
2007,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2007,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,54
2007,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,26
2007,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1076
2007,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,264
2007,Ž,(V01-Y98) Vanjski uzroci smrtnosti,Broj,68
2007,Ž,Nepoznato,Broj,454
2007,Ž,Ukupno,Broj,16890
2008,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,275
2008,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,6734
2008,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,37
2008,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1563
2008,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,169
2008,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,287
2008,Oba spola,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2008,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,17988
2008,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1035
2008,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,846
2008,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,10
2008,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,40
2008,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,571
2008,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,4
2008,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,136
2008,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,61
2008,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2028
2008,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1200
2008,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,2
2008,Oba spola,Nepoznato,Broj,1039
2008,Oba spola,Ukupno,Broj,34026
2008,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,170
2008,M,"(C00-C97,D00-D48) Neoplazme",Broj,4053
2008,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,16
2008,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,618
2008,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,127
2008,M,(G00-G99) Bolesti nervnog sistema,Broj,167
2008,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8385
2008,M,(J00-J99) Bolesti respiratornog sistema,Broj,627
2008,M,(K00-K93) Bolesti digestivnog sistema,Broj,512
2008,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,3
2008,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,14
2008,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,306
2008,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,75
2008,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,32
2008,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1052
2008,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,942
2008,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,2
2008,M,Nepoznato,Broj,586
2008,M,Ukupno,Broj,17687
2008,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,105
2008,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2681
2008,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,21
2008,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,945
2008,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,42
2008,Ž,(G00-G99) Bolesti nervnog sistema,Broj,120
2008,Ž,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2008,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9603
2008,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,408
2008,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,334
2008,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,7
2008,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,26
2008,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,265
2008,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,4
2008,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,61
2008,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,29
2008,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,976
2008,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,258
2008,Ž,Nepoznato,Broj,453
2008,Ž,Ukupno,Broj,16339
2009,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,287
2009,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,6970
2009,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,41
2009,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1999
2009,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,191
2009,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,319
2009,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,18295
2009,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1133
2009,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,936
2009,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,9
2009,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,35
2009,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,588
2009,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2009,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,144
2009,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,61
2009,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1985
2009,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1256
2009,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,2
2009,Oba spola,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,2
2009,Oba spola,Nepoznato,Broj,650
2009,Oba spola,Ukupno,Broj,34904
2009,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,180
2009,M,"(C00-C97,D00-D48) Neoplazme",Broj,4118
2009,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,17
2009,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,766
2009,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,127
2009,M,(G00-G99) Bolesti nervnog sistema,Broj,167
2009,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8586
2009,M,(J00-J99) Bolesti respiratornog sistema,Broj,644
2009,M,(K00-K93) Bolesti digestivnog sistema,Broj,559
2009,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,4
2009,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,8
2009,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,299
2009,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,76
2009,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,31
2009,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1012
2009,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,941
2009,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,2
2009,M,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2009,M,Nepoznato,Broj,346
2009,M,Ukupno,Broj,17884
2009,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,107
2009,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2852
2009,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,24
2009,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1233
2009,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,64
2009,Ž,(G00-G99) Bolesti nervnog sistema,Broj,152
2009,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9709
2009,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,489
2009,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,377
2009,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,5
2009,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,27
2009,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,289
2009,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2009,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,68
2009,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,30
2009,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,973
2009,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,315
2009,Ž,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2009,Ž,Nepoznato,Broj,304
2009,Ž,Ukupno,Broj,17020
2010,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,285
2010,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,6973
2010,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,45
2010,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1903
2010,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,171
2010,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,350
2010,Oba spola,"(H00-H93) Bolesti oka, uha i adneksa",Broj,2
2010,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,18805
2010,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1145
2010,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,918
2010,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,14
2010,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,42
2010,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,577
2010,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2010,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,138
2010,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,63
2010,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1916
2010,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1117
2010,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,15
2010,Oba spola,Nepoznato,Broj,638
2010,Oba spola,Ukupno,Broj,35118
2010,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,183
2010,M,"(C00-C97,D00-D48) Neoplazme",Broj,4059
2010,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,17
2010,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,729
2010,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,118
2010,M,(G00-G99) Bolesti nervnog sistema,Broj,178
2010,M,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2010,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8699
2010,M,(J00-J99) Bolesti respiratornog sistema,Broj,681
2010,M,(K00-K93) Bolesti digestivnog sistema,Broj,544
2010,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,5
2010,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,16
2010,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,296
2010,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,76
2010,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,37
2010,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1008
2010,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,878
2010,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,11
2010,M,Nepoznato,Broj,364
2010,M,Ukupno,Broj,17900
2010,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,102
2010,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2914
2010,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,28
2010,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1174
2010,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,53
2010,Ž,(G00-G99) Bolesti nervnog sistema,Broj,172
2010,Ž,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2010,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,10106
2010,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,464
2010,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,374
2010,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,9
2010,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,26
2010,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,281
2010,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2010,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,62
2010,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,26
2010,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,908
2010,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,239
2010,Ž,(V01-Y98) Vanjski uzroci smrtnosti,Broj,4
2010,Ž,Nepoznato,Broj,274
2010,Ž,Ukupno,Broj,17218
2011,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,298
2011,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,7214
2011,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,59
2011,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1940
2011,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,161
2011,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,410
2011,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,18468
2011,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1281
2011,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,874
2011,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,12
2011,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,45
2011,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,551
2011,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,2
2011,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,118
2011,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,58
2011,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1665
2011,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1162
2011,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,14
2011,Oba spola,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2011,Oba spola,Nepoznato,Broj,695
2011,Oba spola,Ukupno,Broj,35028
2011,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,192
2011,M,"(C00-C97,D00-D48) Neoplazme",Broj,4316
2011,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,20
2011,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,761
2011,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,89
2011,M,(G00-G99) Bolesti nervnog sistema,Broj,213
2011,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8542
2011,M,(J00-J99) Bolesti respiratornog sistema,Broj,725
2011,M,(K00-K93) Bolesti digestivnog sistema,Broj,543
2011,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,2
2011,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,12
2011,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,302
2011,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,67
2011,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,30
2011,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,829
2011,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,930
2011,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,13
2011,M,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2011,M,Nepoznato,Broj,378
2011,M,Ukupno,Broj,17965
2011,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,106
2011,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2898
2011,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,39
2011,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1179
2011,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,72
2011,Ž,(G00-G99) Bolesti nervnog sistema,Broj,197
2011,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9926
2011,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,556
2011,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,331
2011,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,10
2011,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,33
2011,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,249
2011,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,2
2011,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,51
2011,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,28
2011,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,836
2011,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,232
2011,Ž,(V01-Y98) Vanjski uzroci smrtnosti,Broj,1
2011,Ž,Nepoznato,Broj,317
2011,Ž,Ukupno,Broj,17063
2012,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,344
2012,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,7598
2012,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,47
2012,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1926
2012,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,160
2012,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,409
2012,Oba spola,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2012,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,19252
2012,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1266
2012,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,978
2012,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,13
2012,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,54
2012,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,601
2012,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,3
2012,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,111
2012,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,40
2012,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1207
2012,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1067
2012,Oba spola,Nepoznato,Broj,740
2012,Oba spola,Ukupno,Broj,35817
2012,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,185
2012,M,"(C00-C97,D00-D48) Neoplazme",Broj,4458
2012,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,25
2012,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,785
2012,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,109
2012,M,(G00-G99) Bolesti nervnog sistema,Broj,207
2012,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9060
2012,M,(J00-J99) Bolesti respiratornog sistema,Broj,754
2012,M,(K00-K93) Bolesti digestivnog sistema,Broj,588
2012,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,6
2012,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,15
2012,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,303
2012,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,67
2012,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,26
2012,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,609
2012,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,830
2012,M,Nepoznato,Broj,409
2012,M,Ukupno,Broj,18436
2012,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,159
2012,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,3140
2012,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,22
2012,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1141
