Year,health_indicators,UNIT_MEASURE,Entitet,Value
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,5.0
2011,number_of_new_cases_of_HIV,Broj,FBiH,20.0
2011,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.855333216
2011,number_of_caesarean_sections,Broj,FBiH,4598.0
2011,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,217.3
2011,number_of_beds_in_hospitals,Broj,FBiH,8598.0
2011,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,367.7077497
2011,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4443.0
2011,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,190.012274
2011,number_of_general_practitioners,Broj,FBiH,516.0
2011,number_of_population_per_general_practitioner,Broj,FBiH,4531.531008
2011,number_of_midwives,Broj,FBiH,834.0
2011,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2338270.0
2011,male_population,Broj,FBiH,1145752.0
2011,female_population,Broj,FBiH,1192518.0
2011,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,176.0
2011,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,23.98525997
2011,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,433.0
2011,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,59.00919072
2011,number_of_new_cases_of_syphilis,Broj,Republika Srpska,25.0
2011,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,2.0
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,2.0
2011,number_of_new_cases_of_HIV,Broj,Republika Srpska,5.0
2011,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.349731546
2011,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,218.3
2011,number_of_beds_in_hospitals,Broj,Republika Srpska,4403.0
2011,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,307.9735995
2011,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2286.0
2011,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,159.8972629
2011,number_of_general_practitioners,Broj,Republika Srpska,663.0
2011,number_of_population_per_general_practitioner,Broj,Republika Srpska,2156.361991
2011,number_of_midwives,Broj,Republika Srpska,390.0
2011,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1429668.0
2011,male_population,Broj,Republika Srpska,695884.0
2011,female_population,Broj,Republika Srpska,733784.0
2011,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83723.0
2011,male_population,Broj,Brčko Distrikt BiH,41441.0
2011,female_population,Broj,Brčko Distrikt BiH,42282.0
2012,number_of_new_cases_of_cervical_cancer,Broj,BiH,174.0
2012,number_of_new_cases_of_female_breast_cancer,Broj,BiH,488.0
2012,number_of_new_cases_of_syphilis,Broj,BiH,18.0
2012,number_of_new_cases_of_gonorrhea,Broj,BiH,4.0
2012,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,4.0
2012,number_of_new_cases_of_HIV,Broj,BiH,25.0
2012,number_of_caesarean_sections,Broj,BiH,4823.0
2012,number_of_beds_in_hospitals,Broj,BiH,13107.0
2012,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,6874.0
2012,number_of_general_practitioners,Broj,BiH,1274.0
2012,number_of_midwives,Broj,BiH,1244.0
2012,number_of_new_cases_of_cervical_cancer,Broj,FBiH,174.0
2012,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,14.77548899
2012,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,488.0
2012,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,41.43930246
2012,number_of_new_cases_of_syphilis,Broj,FBiH,6.0
2012,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,3.0
2012,number_of_new_cases_of_HIV,Broj,FBiH,17.0
2012,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.727031057
2012,number_of_caesarean_sections,Broj,FBiH,4823.0
2012,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,232.3
2012,number_of_beds_in_hospitals,Broj,FBiH,8549.0
2012,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,365.6110888
2012,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4519.0
2012,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,193.2619617
2012,number_of_general_practitioners,Broj,FBiH,593.0
2012,number_of_population_per_general_practitioner,Broj,FBiH,3943.131535
2012,number_of_midwives,Broj,FBiH,847.0
2012,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2338277.0
2012,male_population,Broj,FBiH,1160651.0
2012,female_population,Broj,FBiH,1177626.0
2012,number_of_new_cases_of_syphilis,Broj,Republika Srpska,12.0
2012,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,4.0
2012,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,1.0
2012,number_of_new_cases_of_HIV,Broj,Republika Srpska,8.0
2012,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.559718462
2012,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,226.9
2012,number_of_beds_in_hospitals,Broj,Republika Srpska,4558.0
2012,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,318.8995935
2012,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2355.0
2012,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,164.7671221
2012,number_of_general_practitioners,Broj,Republika Srpska,681.0
2012,number_of_population_per_general_practitioner,Broj,Republika Srpska,2098.810573
2012,number_of_midwives,Broj,Republika Srpska,397.0
2012,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1429290.0
2012,male_population,Broj,Republika Srpska,695700.0
2012,female_population,Broj,Republika Srpska,733590.0
2012,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83516.0
2012,male_population,Broj,Brčko Distrikt BiH,41235.0
2012,female_population,Broj,Brčko Distrikt BiH,42281.0
2013,number_of_new_cases_of_cervical_cancer,Broj,BiH,99.0
2013,number_of_new_cases_of_female_breast_cancer,Broj,BiH,307.0
2013,number_of_new_cases_of_syphilis,Broj,BiH,14.0
2013,number_of_new_cases_of_gonorrhea,Broj,BiH,3.0
2013,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,7.0
2013,number_of_new_cases_of_HIV,Broj,BiH,24.0
2013,number_of_caesarean_sections,Broj,BiH,4597.0
2013,number_of_beds_in_hospitals,Broj,BiH,12748.0
2013,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,7068.0
2013,number_of_general_practitioners,Broj,BiH,1350.0
2013,number_of_midwives,Broj,BiH,1132.0
2013,number_of_new_cases_of_cervical_cancer,Broj,FBiH,99.0
2013,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,8.410614705
2013,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,307.0
2013,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,26.08140116
2013,number_of_new_cases_of_syphilis,Broj,FBiH,5.0
2013,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,4.0
2013,number_of_new_cases_of_HIV,Broj,FBiH,16.0
2013,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.684579839
2013,number_of_caesarean_sections,Broj,FBiH,4597.0
2013,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,235.1
2013,number_of_beds_in_hospitals,Broj,FBiH,8183.0
2013,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,350.1198015
2013,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4625.0
2013,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,197.8863597
2013,number_of_general_practitioners,Broj,FBiH,665.0
2013,number_of_population_per_general_practitioner,Broj,FBiH,3514.586466
2013,number_of_midwives,Broj,FBiH,755.0
2013,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2337200.0
2013,male_population,Broj,FBiH,1160116.0
2013,female_population,Broj,FBiH,1177084.0
2013,number_of_new_cases_of_syphilis,Broj,Republika Srpska,9.0
2013,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,3.0
2013,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,3.0
2013,number_of_new_cases_of_HIV,Broj,Republika Srpska,8.0
2013,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.561187304
2013,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,251.7
2013,number_of_beds_in_hospitals,Broj,Republika Srpska,4565.0
2013,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,320.2275053
2013,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2443.0
2013,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,171.372573
2013,number_of_general_practitioners,Broj,Republika Srpska,685.0
2013,number_of_population_per_general_practitioner,Broj,Republika Srpska,2081.093431
2013,number_of_midwives,Broj,Republika Srpska,377.0
2013,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1425549.0
2013,male_population,Broj,Republika Srpska,693879.0
2013,female_population,Broj,Republika Srpska,731670.0
2013,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,82410.0
2013,male_population,Broj,Brčko Distrikt BiH,41191.0
2013,female_population,Broj,Brčko Distrikt BiH,41219.0
2014,number_of_new_cases_of_cervical_cancer,Broj,BiH,169.0
2014,number_of_new_cases_of_female_breast_cancer,Broj,BiH,208.0
2014,number_of_new_cases_of_syphilis,Broj,BiH,21.0
2014,number_of_new_cases_of_gonorrhea,Broj,BiH,1.0
2014,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,8.0
2014,number_of_new_cases_of_HIV,Broj,BiH,17.0
2014,number_of_caesarean_sections,Broj,BiH,4730.0
2014,number_of_beds_in_hospitals,Broj,BiH,12989.0
2014,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,7272.0
2014,number_of_general_practitioners,Broj,BiH,1356.0
2014,number_of_midwives,Broj,BiH,1116.0
2014,number_of_new_cases_of_cervical_cancer,Broj,FBiH,169.0
2014,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,14.35602605
2014,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,208.0
2014,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,17.66895514
2014,number_of_new_cases_of_syphilis,Broj,FBiH,6.0
2014,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,6.0
2014,number_of_new_cases_of_HIV,Broj,FBiH,15.0
2014,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.641924885
2014,number_of_caesarean_sections,Broj,FBiH,4730.0
2014,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,240.7
2014,number_of_beds_in_hospitals,Broj,FBiH,8361.0
2014,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,357.8089306
2014,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4801.0
2014,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,205.458758
2014,number_of_general_practitioners,Broj,FBiH,671.0
2014,number_of_population_per_general_practitioner,Broj,FBiH,3482.447094
2014,number_of_midwives,Broj,FBiH,737.0
2014,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2336722.0
2014,male_population,Broj,FBiH,1159516.0
2014,female_population,Broj,FBiH,1177206.0
2014,number_of_new_cases_of_syphilis,Broj,Republika Srpska,15.0
2014,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,1.0
2014,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,2.0
2014,number_of_new_cases_of_HIV,Broj,Republika Srpska,2.0
2014,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.140715256
2014,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,237.9
2014,number_of_beds_in_hospitals,Broj,Republika Srpska,4628.0
2014,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,325.6151016
2014,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2471.0
2014,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,173.8536983
2014,number_of_general_practitioners,Broj,Republika Srpska,685.0
2014,number_of_population_per_general_practitioner,Broj,Republika Srpska,2074.905109
2014,number_of_midwives,Broj,Republika Srpska,379.0
2014,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1421310.0
2014,male_population,Broj,Republika Srpska,691725.0
2014,female_population,Broj,Republika Srpska,729585.0
2014,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83309.0
2014,male_population,Broj,Brčko Distrikt BiH,41119.0
2014,female_population,Broj,Brčko Distrikt BiH,42190.0
2015,number_of_new_cases_of_cervical_cancer,Broj,BiH,158.0
2015,number_of_new_cases_of_female_breast_cancer,Broj,BiH,538.0
2015,number_of_new_cases_of_syphilis,Broj,BiH,12.0
2015,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,6.0
2015,number_of_new_cases_of_HIV,Broj,BiH,12.0
2015,number_of_caesarean_sections,Broj,BiH,4788.0
2015,number_of_beds_in_hospitals,Broj,BiH,12965.0
2015,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,7255.0
2015,number_of_general_practitioners,Broj,BiH,1355.0
2015,number_of_midwives,Broj,BiH,1088.0
2015,number_of_new_cases_of_cervical_cancer,Broj,FBiH,158.0
2015,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,13.4352599
2015,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,538.0
2015,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,45.74791031
2015,number_of_new_cases_of_syphilis,Broj,FBiH,4.0
2015,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,4.0
2015,number_of_new_cases_of_HIV,Broj,FBiH,10.0
2015,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.428385142
2015,number_of_caesarean_sections,Broj,FBiH,4788.0
2015,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,249.3
2015,number_of_beds_in_hospitals,Broj,FBiH,8322.0
2015,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,356.5021154
2015,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4764.0
2015,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,204.0826818
2015,number_of_general_practitioners,Broj,FBiH,673.0
2015,number_of_population_per_general_practitioner,Broj,FBiH,3468.570579
2015,number_of_midwives,Broj,FBiH,717.0
2015,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2334348.0
2015,male_population,Broj,FBiH,1158338.0
2015,female_population,Broj,FBiH,1176010.0
2015,number_of_new_cases_of_syphilis,Broj,Republika Srpska,8.0
2015,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,2.0
2015,number_of_new_cases_of_HIV,Broj,Republika Srpska,2.0
2015,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.172092751
2015,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,263.7
2015,number_of_beds_in_hospitals,Broj,Republika Srpska,4643.0
2015,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,399.5133217
2015,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2491.0
2015,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,214.3415215
2015,number_of_general_practitioners,Broj,Republika Srpska,682.0
2015,number_of_population_per_general_practitioner,Broj,Republika Srpska,1704.052786
2015,number_of_midwives,Broj,Republika Srpska,371.0
2015,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1162164.0
2015,male_population,Broj,Republika Srpska,567711.0
2015,female_population,Broj,Republika Srpska,594453.0
2015,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83236.0
2015,male_population,Broj,Brčko Distrikt BiH,41105.0
2015,female_population,Broj,Brčko Distrikt BiH,42131.0
2016,number_of_new_cases_of_cervical_cancer,Broj,BiH,407.0
2016,number_of_new_cases_of_female_breast_cancer,Broj,BiH,1023.0
2016,number_of_new_cases_of_syphilis,Broj,BiH,16.0
2016,number_of_new_cases_of_gonorrhea,Broj,BiH,3.0
2016,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,7.0
2016,number_of_new_cases_of_HIV,Broj,BiH,23.0
2016,number_of_caesarean_sections,Broj,BiH,4909.0
2016,number_of_beds_in_hospitals,Broj,BiH,12937.0
2016,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,7285.0
2016,number_of_general_practitioners,Broj,BiH,1377.0
2016,number_of_midwives,Broj,BiH,1075.0
2016,number_of_new_cases_of_cervical_cancer,Broj,FBiH,215.0
2016,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,19.12823301
2016,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,574.0
2016,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,51.0679337
2016,number_of_new_cases_of_syphilis,Broj,FBiH,9.0
2016,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,4.0
2016,number_of_new_cases_of_HIV,Broj,FBiH,16.0
2016,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.72521871
2016,number_of_caesarean_sections,Broj,FBiH,4909.0
2016,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,254.2
2016,number_of_beds_in_hospitals,Broj,FBiH,8309.0
2016,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,376.6151414
2016,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4755.0
2016,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,215.5259354
2016,number_of_general_practitioners,Broj,FBiH,676.0
2016,number_of_population_per_general_practitioner,Broj,FBiH,3263.655325
2016,number_of_midwives,Broj,FBiH,704.0
2016,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2206231.0
2016,male_population,Broj,FBiH,1082238.0
2016,female_population,Broj,FBiH,1123993.0
2016,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,192.0
2016,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,32.42432635
2016,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,449.0
2016,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,75.82563819
2016,number_of_new_cases_of_syphilis,Broj,Republika Srpska,7.0
2016,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,3.0
2016,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,3.0
2016,number_of_new_cases_of_HIV,Broj,Republika Srpska,7.0
2016,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.604743261
2016,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,272.1
2016,number_of_beds_in_hospitals,Broj,Republika Srpska,4628.0
2016,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,399.8216871
2016,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2530.0
2016,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,218.5714927
2016,number_of_general_practitioners,Broj,Republika Srpska,701.0
2016,number_of_population_per_general_practitioner,Broj,Republika Srpska,1651.235378
2016,number_of_midwives,Broj,Republika Srpska,371.0
2016,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1157516.0
2016,male_population,Broj,Republika Srpska,565368.0
2016,female_population,Broj,Republika Srpska,592148.0
2016,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83254.0
2016,male_population,Broj,Brčko Distrikt BiH,41104.0
2016,female_population,Broj,Brčko Distrikt BiH,42150.0
2017,number_of_new_cases_of_cervical_cancer,Broj,BiH,115.0
2017,number_of_new_cases_of_female_breast_cancer,Broj,BiH,556.0
2017,number_of_new_cases_of_syphilis,Broj,BiH,20.0
2017,number_of_new_cases_of_gonorrhea,Broj,BiH,1.0
2017,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,3.0
2017,number_of_new_cases_of_HIV,Broj,BiH,12.0
2017,number_of_caesarean_sections,Broj,BiH,5038.0
2017,number_of_beds_in_hospitals,Broj,BiH,12756.0
2017,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,7330.0
2017,number_of_general_practitioners,Broj,BiH,1404.0
2017,number_of_midwives,Broj,BiH,1050.0
2017,number_of_new_cases_of_cervical_cancer,Broj,FBiH,115.0
2017,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,10.258359
2017,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,556.0
2017,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,49.59693569
2017,number_of_new_cases_of_syphilis,Broj,FBiH,9.0
2017,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,1.0
2017,number_of_new_cases_of_HIV,Broj,FBiH,7.0
2017,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.31800937
2017,number_of_caesarean_sections,Broj,FBiH,5038.0
2017,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,258.6
2017,number_of_beds_in_hospitals,Broj,FBiH,8206.0
2017,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,372.7978419
2017,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4810.0
2017,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,218.5178674
2017,number_of_general_practitioners,Broj,FBiH,735.0
2017,number_of_population_per_general_practitioner,Broj,FBiH,2994.820408
2017,number_of_midwives,Broj,FBiH,687.0
2017,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2201193.0
2017,male_population,Broj,FBiH,1080156.0
2017,female_population,Broj,FBiH,1121037.0
2017,number_of_new_cases_of_syphilis,Broj,Republika Srpska,11.0
2017,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,1.0
2017,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,2.0
2017,number_of_new_cases_of_HIV,Broj,Republika Srpska,5.0
2017,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.433644951
2017,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,290.1
2017,number_of_beds_in_hospitals,Broj,Republika Srpska,4550.0
2017,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,394.616905
2017,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2520.0
2017,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,218.5570551
2017,number_of_general_practitioners,Broj,Republika Srpska,669.0
2017,number_of_population_per_general_practitioner,Broj,Republika Srpska,1723.493274
2017,number_of_midwives,Broj,Republika Srpska,363.0
2017,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1153017.0
2017,male_population,Broj,Republika Srpska,563187.0
2017,female_population,Broj,Republika Srpska,589830.0
2017,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83243.0
2017,male_population,Broj,Brčko Distrikt BiH,41094.0
2017,female_population,Broj,Brčko Distrikt BiH,42149.0
2018,number_of_new_cases_of_syphilis,Broj,BiH,17.0
2018,number_of_new_cases_of_gonorrhea,Broj,BiH,9.0
2018,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,12.0
2018,number_of_new_cases_of_HIV,Broj,BiH,24.0
2018,number_of_caesarean_sections,Broj,BiH,4910.0
2018,number_of_beds_in_hospitals,Broj,BiH,13078.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,7653.0
2018,number_of_general_practitioners,Broj,BiH,1498.0
2018,number_of_midwives,Broj,BiH,1063.0
2018,number_of_new_cases_of_syphilis,Broj,FBiH,5.0
2018,number_of_new_cases_of_gonorrhea,Broj,FBiH,1.0
2018,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,7.0
2018,number_of_new_cases_of_HIV,Broj,FBiH,19.0
2018,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.865117681
2018,number_of_caesarean_sections,Broj,FBiH,4910.0
2018,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,279.6
2018,number_of_beds_in_hospitals,Broj,FBiH,7954.0
2018,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,362.1655808
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4922.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,224.1110119
2018,number_of_general_practitioners,Broj,FBiH,798.0
2018,number_of_population_per_general_practitioner,Broj,FBiH,2752.171679
2018,number_of_midwives,Broj,FBiH,689.0
2018,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2196233.0
2018,male_population,Broj,FBiH,1077981.0
2018,female_population,Broj,FBiH,1118252.0
2018,number_of_new_cases_of_syphilis,Broj,Republika Srpska,12.0
2018,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,8.0
2018,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,5.0
2018,number_of_new_cases_of_HIV,Broj,Republika Srpska,5.0
2018,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.435577253
2018,number_of_beds_in_hospitals,Broj,Republika Srpska,4820.0
2018,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,419.896472
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2588.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,225.4547862
2018,number_of_general_practitioners,Broj,Republika Srpska,670.0
2018,number_of_population_per_general_practitioner,Broj,Republika Srpska,1713.286567
2018,number_of_midwives,Broj,Republika Srpska,371.0
2018,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1147902.0
2018,male_population,Broj,Republika Srpska,560795.0
2018,female_population,Broj,Republika Srpska,587107.0
2018,number_of_beds_in_hospitals,Broj,Brčko Distrikt BiH,304.0
2018,number_of_beds_in_hospitals_per_100000_population,Broj,Brčko Distrikt BiH,365.2353605
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Brčko Distrikt BiH,143.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Brčko Distrikt BiH,171.8047913
2018,number_of_general_practitioners,Broj,Brčko Distrikt BiH,30.0
2018,number_of_population_per_general_practitioner,Broj,Brčko Distrikt BiH,2774.466667
2018,number_of_midwives,Broj,Brčko Distrikt BiH,3.0
2018,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83234.0
2018,male_population,Broj,Brčko Distrikt BiH,41093.0
