Year,Cause of death (as per ICD-10 codes),UNIT_MEASURE,Sex,Value
2008,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,571
2008,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,4
2008,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,136
2008,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,61
2008,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2028
2008,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1200
2008,(V01-Y98) External causes of mortality,Number,Both sexes,2
2008,Unknown,Number,Both sexes,1039
2008,Total,Number,Both sexes,34026
2008,(A00-B99) Infectious and parasitic diseases,Number,M,170
2008,"(C00-C97,D00-D48) Neoplasms",Number,M,4053
2008,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,16
2008,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,618
2008,(F00-F99) Mental and behavioural disorders,Number,M,127
2008,(G00-G99) Diseases of the nervous system,Number,M,167
2008,(I00-I99) Diseases of the circulatory system,Number,M,8385
2008,(J00-J99) Diseases of the respiratory system,Number,M,627
2008,(K00-K93) Diseases of the digestive system,Number,M,512
2008,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,3
2008,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,14
2008,(N00-N99) Diseases of the genitourinary system,Number,M,306
2008,(P00-P96) Certain conditions originating in the perinatal period,Number,M,75
2008,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,32
2008,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1052
2008,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,942
2008,(V01-Y98) External causes of mortality,Number,M,2
2008,Unknown,Number,M,586
2008,Total,Number,M,17687
2008,(A00-B99) Infectious and parasitic diseases,Number,F,105
2008,"(C00-C97,D00-D48) Neoplasms",Number,F,2681
2008,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,21
2008,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,945
2008,(F00-F99) Mental and behavioural disorders,Number,F,42
2008,(G00-G99) Diseases of the nervous system,Number,F,120
2008,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,1
2008,(I00-I99) Diseases of the circulatory system,Number,F,9603
2008,(J00-J99) Diseases of the respiratory system,Number,F,408
2008,(K00-K93) Diseases of the digestive system,Number,F,334
2008,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,7
2008,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,26
2008,(N00-N99) Diseases of the genitourinary system,Number,F,265
2008,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,4
2008,(P00-P96) Certain conditions originating in the perinatal period,Number,F,61
2008,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,29
2008,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,976
2008,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,258
2008,Unknown,Number,F,453
2008,Total,Number,F,16339
2009,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,287
2009,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,697
2009,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,41
2009,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,1999
2009,(F00-F99) Mental and behavioural disorders,Number,Both sexes,191
2009,(G00-G99) Diseases of the nervous system,Number,Both sexes,319
2009,(I00-I99) Diseases of the circulatory system,Number,Both sexes,18295
2009,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1133
2009,(K00-K93) Diseases of the digestive system,Number,Both sexes,936
2009,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,9
2009,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,35
2009,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,588
2009,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,1
2009,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,144
2009,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,61
2009,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,1985
2009,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1256
2009,(V01-Y98) External causes of mortality,Number,Both sexes,2
2009,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,2
2009,Unknown,Number,Both sexes,650
2009,Total,Number,Both sexes,34904
2009,(A00-B99) Infectious and parasitic diseases,Number,M,180
2009,"(C00-C97,D00-D48) Neoplasms",Number,M,4118
2009,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,17
2009,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,766
2009,(F00-F99) Mental and behavioural disorders,Number,M,127
2009,(G00-G99) Diseases of the nervous system,Number,M,167
2009,(I00-I99) Diseases of the circulatory system,Number,M,8586
2009,(J00-J99) Diseases of the respiratory system,Number,M,644
2009,(K00-K93) Diseases of the digestive system,Number,M,559
2009,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,4
2009,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,8
2009,(N00-N99) Diseases of the genitourinary system,Number,M,299
2009,(P00-P96) Certain conditions originating in the perinatal period,Number,M,76
2009,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,31
2009,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1012
2009,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,941
2009,(V01-Y98) External causes of mortality,Number,M,2
2009,(Z00-Z99) Factors influencing health status and contract with health services,Number,M,1
2009,Unknown,Number,M,346
2009,Total,Number,M,17884
2009,(A00-B99) Infectious and parasitic diseases,Number,F,107
2009,"(C00-C97,D00-D48) Neoplasms",Number,F,2852
2009,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,24
2009,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1233
2009,(F00-F99) Mental and behavioural disorders,Number,F,64
2009,(G00-G99) Diseases of the nervous system,Number,F,152
2009,(I00-I99) Diseases of the circulatory system,Number,F,9709
2009,(J00-J99) Diseases of the respiratory system,Number,F,489
2009,(K00-K93) Diseases of the digestive system,Number,F,377
2009,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,5
2009,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,27
2009,(N00-N99) Diseases of the genitourinary system,Number,F,289
2009,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,1
2009,(P00-P96) Certain conditions originating in the perinatal period,Number,F,68
2009,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,30
2009,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,973
2009,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,315
2009,(Z00-Z99) Factors influencing health status and contract with health services,Number,F,1
2009,Unknown,Number,F,304
2009,Total,Number,F,17020
2010,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,285
2010,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,6973
2010,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,45
2010,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,1903
2010,(F00-F99) Mental and behavioural disorders,Number,Both sexes,171
2010,(G00-G99) Diseases of the nervous system,Number,Both sexes,350
2010,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,2
2010,(I00-I99) Diseases of the circulatory system,Number,Both sexes,18805
2010,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1145
2010,(K00-K93) Diseases of the digestive system,Number,Both sexes,918
2010,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,14
2010,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,42
2010,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,577
2010,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,1
2010,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,138
2010,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,63
2010,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,1916
2010,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1117
2010,(V01-Y98) External causes of mortality,Number,Both sexes,15
2010,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,0
2010,Unknown,Number,Both sexes,638
2010,Total,Number,Both sexes,35118
2010,(A00-B99) Infectious and parasitic diseases,Number,M,183
2010,"(C00-C97,D00-D48) Neoplasms",Number,M,4059
2010,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,17
2010,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,729
2010,(F00-F99) Mental and behavioural disorders,Number,M,118
2010,(G00-G99) Diseases of the nervous system,Number,M,178
2010,"(H00-H93) Diseases of the eye, ear and adnexa",Number,M,1
2010,(I00-I99) Diseases of the circulatory system,Number,M,8699
2010,(J00-J99) Diseases of the respiratory system,Number,M,681
2010,(K00-K93) Diseases of the digestive system,Number,M,544
2010,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,5
2010,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,16
2010,(N00-N99) Diseases of the genitourinary system,Number,M,296
2010,(P00-P96) Certain conditions originating in the perinatal period,Number,M,76
2010,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,37
2010,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1008
2010,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,878
2010,(V01-Y98) External causes of mortality,Number,M,11
2010,Unknown,Number,M,364
2010,Total,Number,M,17900
2010,(A00-B99) Infectious and parasitic diseases,Number,F,102
2010,"(C00-C97,D00-D48) Neoplasms",Number,F,2914
2010,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,28
2010,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1174
2010,(F00-F99) Mental and behavioural disorders,Number,F,53
2010,(G00-G99) Diseases of the nervous system,Number,F,172
2010,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,1
2010,(I00-I99) Diseases of the circulatory system,Number,F,10106
2010,(J00-J99) Diseases of the respiratory system,Number,F,464
2010,(K00-K93) Diseases of the digestive system,Number,F,374
2010,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,9
2010,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,26
2010,(N00-N99) Diseases of the genitourinary system,Number,F,281
2010,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,1
2010,(P00-P96) Certain conditions originating in the perinatal period,Number,F,62
2010,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,26
2010,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,908
2010,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,239
2010,(V01-Y98) External causes of mortality,Number,F,4
2010,Unknown,Number,F,274
2010,Total,Number,F,17218
2011,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,298
2011,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,7214
2011,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,59
2011,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,194
2011,(F00-F99) Mental and behavioural disorders,Number,Both sexes,161
2011,(G00-G99) Diseases of the nervous system,Number,Both sexes,410
2011,(I00-I99) Diseases of the circulatory system,Number,Both sexes,18468
2011,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1281
2011,(K00-K93) Diseases of the digestive system,Number,Both sexes,874
2011,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,12
2011,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,45
2011,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,551
2011,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,2
2011,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,118
2011,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,58
2011,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,1665
2011,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1162
2011,(V01-Y98) External causes of mortality,Number,Both sexes,14
2011,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,1
2011,Unknown,Number,Both sexes,695
2011,Total,Number,Both sexes,35028
2011,(A00-B99) Infectious and parasitic diseases,Number,M,192
2011,"(C00-C97,D00-D48) Neoplasms",Number,M,4316
2011,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,20
2011,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,761
2011,(F00-F99) Mental and behavioural disorders,Number,M,89
2011,(G00-G99) Diseases of the nervous system,Number,M,213
2011,(I00-I99) Diseases of the circulatory system,Number,M,8542
2011,(J00-J99) Diseases of the respiratory system,Number,M,725
2011,(K00-K93) Diseases of the digestive system,Number,M,543
2011,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,2
2011,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,12
2011,(N00-N99) Diseases of the genitourinary system,Number,M,302
2011,(P00-P96) Certain conditions originating in the perinatal period,Number,M,67
2011,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,30
2011,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,829
2011,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,930
2011,(V01-Y98) External causes of mortality,Number,M,13
2011,(Z00-Z99) Factors influencing health status and contract with health services,Number,M,1
2011,Unknown,Number,M,378
2011,Total,Number,M,17965
2011,(A00-B99) Infectious and parasitic diseases,Number,F,106
2011,"(C00-C97,D00-D48) Neoplasms",Number,F,2898
2011,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,39
2011,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1179
2011,(F00-F99) Mental and behavioural disorders,Number,F,72
2011,(G00-G99) Diseases of the nervous system,Number,F,197
2011,(I00-I99) Diseases of the circulatory system,Number,F,9926
2011,(J00-J99) Diseases of the respiratory system,Number,F,556
2011,(K00-K93) Diseases of the digestive system,Number,F,331
2011,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,10
2011,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,33
2011,(N00-N99) Diseases of the genitourinary system,Number,F,249
2011,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,2
2011,(P00-P96) Certain conditions originating in the perinatal period,Number,F,51
2011,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,28
2011,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,836
2011,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,232
2011,(V01-Y98) External causes of mortality,Number,F,1
2011,Unknown,Number,F,317
2011,Total,Number,F,17063
2012,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,344
2012,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,7598
2012,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,47
2012,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,1926
2012,(F00-F99) Mental and behavioural disorders,Number,Both sexes,160
2012,(G00-G99) Diseases of the nervous system,Number,Both sexes,409
2012,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,1
2012,(I00-I99) Diseases of the circulatory system,Number,Both sexes,19252
2012,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1266
2012,(K00-K93) Diseases of the digestive system,Number,Both sexes,978
2012,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,13
2012,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,54
2012,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,601
2012,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,3
2012,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,111
2012,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,40
2012,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,1207
2012,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1067
2012,Unknown,Number,Both sexes,740
2012,Total,Number,Both sexes,35817
2012,(A00-B99) Infectious and parasitic diseases,Number,M,185
2012,"(C00-C97,D00-D48) Neoplasms",Number,M,4458
2012,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,25
2012,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,785
2012,(F00-F99) Mental and behavioural disorders,Number,M,109
2012,(G00-G99) Diseases of the nervous system,Number,M,207
2012,(I00-I99) Diseases of the circulatory system,Number,M,906
2012,(J00-J99) Diseases of the respiratory system,Number,M,754
2012,(K00-K93) Diseases of the digestive system,Number,M,588
2012,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,6
2012,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,15
2012,(N00-N99) Diseases of the genitourinary system,Number,M,303
2012,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,M,0
2012,(P00-P96) Certain conditions originating in the perinatal period,Number,M,67
2012,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,26
2012,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,609
2012,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,830
2012,Unknown,Number,M,409
2012,Total,Number,M,18436
2012,(A00-B99) Infectious and parasitic diseases,Number,F,159
2012,"(C00-C97,D00-D48) Neoplasms",Number,F,314
2012,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,22
2012,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1141
2012,(F00-F99) Mental and behavioural disorders,Number,F,51
2012,(G00-G99) Diseases of the nervous system,Number,F,202
2012,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,1
2012,(I00-I99) Diseases of the circulatory system,Number,F,10192
2012,(J00-J99) Diseases of the respiratory system,Number,F,512
2012,(K00-K93) Diseases of the digestive system,Number,F,390
2012,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,7
2012,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,39
2012,(N00-N99) Diseases of the genitourinary system,Number,F,298
2012,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,3
2012,(P00-P96) Certain conditions originating in the perinatal period,Number,F,44
2012,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,14
2012,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,598
2012,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,237
2012,Unknown,Number,F,331
2012,Total,Number,F,17381
2013,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,268
2013,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,7506
2013,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,50
2013,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,197
2013,(F00-F99) Mental and behavioural disorders,Number,Both sexes,192
2013,(G00-G99) Diseases of the nervous system,Number,Both sexes,382
2013,(I00-I99) Diseases of the circulatory system,Number,Both sexes,18186
2013,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1428
2013,(K00-K93) Diseases of the digestive system,Number,Both sexes,955
2013,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,31
2013,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,57
2013,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,581
2013,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,101
2013,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,38
2013,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2107
2013,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1024
2013,(V01-Y98) External causes of mortality,Number,Both sexes,4
2013,Unknown,Number,Both sexes,782
2013,Total,Number,Both sexes,35662
2013,(A00-B99) Infectious and parasitic diseases,Number,M,165
2013,"(C00-C97,D00-D48) Neoplasms",Number,M,4384
2013,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,20
2013,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,820
2013,(F00-F99) Mental and behavioural disorders,Number,M,101
2013,(G00-G99) Diseases of the nervous system,Number,M,198
2013,(I00-I99) Diseases of the circulatory system,Number,M,8458
2013,(J00-J99) Diseases of the respiratory system,Number,M,827
2013,(K00-K93) Diseases of the digestive system,Number,M,526
2013,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,12
2013,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,18
2013,(N00-N99) Diseases of the genitourinary system,Number,M,304
2013,(P00-P96) Certain conditions originating in the perinatal period,Number,M,62
2013,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,19
2013,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1112
2013,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,794
2013,(V01-Y98) External causes of mortality,Number,M,4
2013,Unknown,Number,M,393
2013,Total,Number,M,18217
2013,(A00-B99) Infectious and parasitic diseases,Number,F,103
2013,"(C00-C97,D00-D48) Neoplasms",Number,F,3122
2013,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,30
2013,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,115
2013,(F00-F99) Mental and behavioural disorders,Number,F,91
2013,(G00-G99) Diseases of the nervous system,Number,F,184
2013,(I00-I99) Diseases of the circulatory system,Number,F,9728
2013,(J00-J99) Diseases of the respiratory system,Number,F,601
2013,(K00-K93) Diseases of the digestive system,Number,F,429
2013,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,19
2013,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,39
2013,(N00-N99) Diseases of the genitourinary system,Number,F,277
2013,(P00-P96) Certain conditions originating in the perinatal period,Number,F,39
2013,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,19
2013,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,995
2013,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,230
2013,Unknown,Number,F,389
2013,Total,Number,F,17445
2014,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,291
2014,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,7821
2014,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,42
2014,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,2267
2014,(F00-F99) Mental and behavioural disorders,Number,Both sexes,225
2014,(G00-G99) Diseases of the nervous system,Number,Both sexes,396
2014,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,6
2014,(I00-I99) Diseases of the circulatory system,Number,Both sexes,1793
2014,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1409
2014,(K00-K93) Diseases of the digestive system,Number,Both sexes,949
2014,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,32
2014,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,61
2014,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,536
2014,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,85
2014,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,49
2014,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2241
2014,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1032
2014,(V01-Y98) External causes of mortality,Number,Both sexes,17
2014,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,1
2014,Unknown,Number,Both sexes,590
2014,Total,Number,Both sexes,35980
2014,(A00-B99) Infectious and parasitic diseases,Number,M,164
2014,"(C00-C97,D00-D48) Neoplasms",Number,M,4569
2014,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,14
2014,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,925
2014,(F00-F99) Mental and behavioural disorders,Number,M,142
2014,(G00-G99) Diseases of the nervous system,Number,M,207
2014,(I00-I99) Diseases of the circulatory system,Number,M,8336
2014,(J00-J99) Diseases of the respiratory system,Number,M,840
2014,(K00-K93) Diseases of the digestive system,Number,M,545
2014,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,16
2014,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,16
2014,(N00-N99) Diseases of the genitourinary system,Number,M,260
2014,(P00-P96) Certain conditions originating in the perinatal period,Number,M,42
2014,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,20
2014,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1132
2014,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,795
2014,(V01-Y98) External causes of mortality,Number,M,10
2014,Unknown,Number,M,327
2014,Total,Number,M,18360
2014,(A00-B99) Infectious and parasitic diseases,Number,F,127
2014,"(C00-C97,D00-D48) Neoplasms",Number,F,3252
2014,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,28
2014,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,1342
2014,(F00-F99) Mental and behavioural disorders,Number,F,83
2014,(G00-G99) Diseases of the nervous system,Number,F,189
2014,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,6
2014,(I00-I99) Diseases of the circulatory system,Number,F,9594
2014,(J00-J99) Diseases of the respiratory system,Number,F,569
2014,(K00-K93) Diseases of the digestive system,Number,F,404
2014,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,16
2014,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,45
2014,(N00-N99) Diseases of the genitourinary system,Number,F,276
2014,(P00-P96) Certain conditions originating in the perinatal period,Number,F,43
2014,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,29
2014,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1109
2014,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,237
2014,(V01-Y98) External causes of mortality,Number,F,7
2014,(Z00-Z99) Factors influencing health status and contract with health services,Number,F,1
2014,Unknown,Number,F,263
2014,Total,Number,F,17620
2015,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,370
2015,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,7956
2015,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,55
