Year,UNIT_MEASURE,Sex,Administrative area,Births,Value
2006,Number,M,Brčko District of BiH,Deaths,399
2007,Number,M,Brčko District of BiH,Deaths,427
2008,Number,M,Brčko District of BiH,Deaths,464
2009,Number,M,Brčko District of BiH,Deaths,483
2010,Number,M,Brčko District of BiH,Deaths,493
2011,Number,M,Brčko District of BiH,Deaths,480
2012,Number,M,Brčko District of BiH,Deaths,508
2013,Number,M,Brčko District of BiH,Deaths,474
2014,Number,M,Brčko District of BiH,Deaths,515
2015,Number,M,Brčko District of BiH,Deaths,557
2016,Number,M,Brčko District of BiH,Deaths,508
2017,Number,M,Brčko District of BiH,Deaths,553
2018,Number,M,Brčko District of BiH,Deaths,515
2019,Number,M,Brčko District of BiH,Deaths,565
2002,Number,F,Brčko District of BiH,Deaths,290
2003,Number,F,Brčko District of BiH,Deaths,346
2004,Number,F,Brčko District of BiH,Deaths,384
2005,Number,F,Brčko District of BiH,Deaths,401
2006,Number,F,Brčko District of BiH,Deaths,343
2007,Number,F,Brčko District of BiH,Deaths,391
2008,Number,F,Brčko District of BiH,Deaths,426
2009,Number,F,Brčko District of BiH,Deaths,429
2010,Number,F,Brčko District of BiH,Deaths,413
2011,Number,F,Brčko District of BiH,Deaths,474
2012,Number,F,Brčko District of BiH,Deaths,415
2013,Number,F,Brčko District of BiH,Deaths,462
2014,Number,F,Brčko District of BiH,Deaths,485
2015,Number,F,Brčko District of BiH,Deaths,557
2016,Number,F,Brčko District of BiH,Deaths,482
2017,Number,F,Brčko District of BiH,Deaths,548
2018,Number,F,Brčko District of BiH,Deaths,517
2019,Number,F,Brčko District of BiH,Deaths,567
2002,Number,Both sexes,Brčko District of BiH,Natural change,222
2003,Number,Both sexes,Brčko District of BiH,Natural change,216
2004,Number,Both sexes,Brčko District of BiH,Natural change,193
2005,Number,Both sexes,Brčko District of BiH,Natural change,147
2006,Number,Both sexes,Brčko District of BiH,Natural change,170
2007,Number,Both sexes,Brčko District of BiH,Natural change,158
2008,Number,Both sexes,Brčko District of BiH,Natural change,15
2009,Number,Both sexes,Brčko District of BiH,Natural change,21
2010,Number,Both sexes,Brčko District of BiH,Natural change,10
2011,Number,Both sexes,Brčko District of BiH,Natural change,-49
2012,Number,Both sexes,Brčko District of BiH,Natural change,41
2013,Number,Both sexes,Brčko District of BiH,Natural change,-40
2014,Number,Both sexes,Brčko District of BiH,Natural change,-81
2015,Number,Both sexes,Brčko District of BiH,Natural change,-182
2016,Number,Both sexes,Brčko District of BiH,Natural change,-112
2017,Number,Both sexes,Brčko District of BiH,Natural change,-203
2018,Number,Both sexes,Brčko District of BiH,Natural change,-171
2019,Number,Both sexes,Brčko District of BiH,Natural change,-233
