Year,MICS_INDICATORS,UNIT_MEASURE,MICS_NUMBER,Entity,Value
2012,skilled_attendant_at_delivery,_%,MICS 4 ,BD,100.0
2012,institutional_deliveries,_%,MICS 4 ,BD,100.0
2012,marriage_before_age_15_(men_15-49),_%,MICS 4 ,BD,0.2
2012,marriage_before_age_18_(women_20-49),_%,MICS 4 ,BD,11.3
2012,marriage_before_age_18_(men_20-49),_%,MICS 4 ,BD,0.4
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,BD,1.9
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,BD,7.4
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,BD,40.0
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,BD,46.2
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,BD,41.5
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,BD,45.9
2012,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,BD,27.1
2012,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,BD,31.4
2012,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,BD,33.0
2012,sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,BD,2.0
2012,sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,BD,10.9
2012,life_satisfaction_(women_15-24),_%,MICS 4 ,BD,14.6
2012,life_satisfaction_(men_15-24),_%,MICS 4 ,BD,28.6
2012,happiness_(women_15-24),_%,MICS 4 ,BD,85.8
2012,happiness_(men_15-24),_%,MICS 4 ,BD,75.1
2012,tobacco_use_(women_15-49),_%,MICS 4 ,BD,23.7
2012,tobacco_use_(men_15-49),_%,MICS 4 ,BD,37.4
2012,alcohol_use_(women_15-49),_%,MICS 4 ,BD,20.6
2012,alcohol_use_(men_15-49),_%,MICS 4 ,BD,58.9
