Year,Health indicators,UNIT_MEASURE,Administrative area,Value
2012,Number of general practitioners,Number,FBiH,593.0
2012,Number of population per general practitioner,Number,FBiH,3943.131535
2012,Number of midwives,Number,FBiH,847.0
2012,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2338277.0
2012,Male population,Number,FBiH,1160651.0
2012,Female population,Number,FBiH,1177626.0
2012,Number of new cases of syphilis,Number,Republika Srpska,12.0
2012,Number of new cases of gonorrhea,Number,Republika Srpska,4.0
2012,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,1.0
2012,Number of new cases of HIV,Number,Republika Srpska,8.0
2012,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.559718462
2012,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,226.9
2012,Number of beds in hospitals,Number,Republika Srpska,4558.0
2012,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,318.8995935
2012,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2355.0
2012,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,164.7671221
2012,Number of general practitioners,Number,Republika Srpska,681.0
2012,Number of population per general practitioner,Number,Republika Srpska,2098.810573
2012,Number of midwives,Number,Republika Srpska,397.0
2012,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1429290.0
2012,Male population,Number,Republika Srpska,695700.0
2012,Female population,Number,Republika Srpska,733590.0
2012,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83516.0
2012,Male population,Number,Brčko District of BiH,41235.0
2012,Female population,Number,Brčko District of BiH,42281.0
2013,Number of new cases of cervical cancer,Number,BiH,99.0
2013,Number of new cases of female breast cancer,Number,BiH,307.0
2013,Number of new cases of syphilis,Number,BiH,14.0
2013,Number of new cases of gonorrhea,Number,BiH,3.0
2013,Number of new cases of AIDS clinically diagnosed,Number,BiH,7.0
2013,Number of new cases of HIV,Number,BiH,24.0
2013,Number of caesarean sections,Number,BiH,4597.0
2013,Number of beds in hospitals,Number,BiH,12748.0
2013,Number of medical doctors providing health care in public institutions,Number,BiH,7068.0
2013,Number of general practitioners,Number,BiH,1350.0
2013,Number of midwives,Number,BiH,1132.0
2013,Number of new cases of cervical cancer,Number,FBiH,99.0
2013,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,8.410614705
2013,Number of new cases of female breast cancer,Number,FBiH,307.0
2013,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,26.08140116
2013,Number of new cases of syphilis,Number,FBiH,5.0
2013,Number of new cases of AIDS clinically diagnosed,Number,FBiH,4.0
2013,Number of new cases of HIV,Number,FBiH,16.0
2013,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.684579839
2013,Number of caesarean sections,Number,FBiH,4597.0
2013,"Number of caesarean sections per 1,000 live births",Number,FBiH,235.1
2013,Number of beds in hospitals,Number,FBiH,8183.0
2013,"Number of beds in hospitals per 100,000 population",Number,FBiH,350.1198015
2013,Number of medical doctors providing health care in public institutions,Number,FBiH,4625.0
2013,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,197.8863597
2013,Number of general practitioners,Number,FBiH,665.0
2013,Number of population per general practitioner,Number,FBiH,3514.586466
2013,Number of midwives,Number,FBiH,755.0
2013,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2337200.0
2013,Male population,Number,FBiH,1160116.0
2013,Female population,Number,FBiH,1177084.0
2013,Number of new cases of syphilis,Number,Republika Srpska,9.0
2013,Number of new cases of gonorrhea,Number,Republika Srpska,3.0
2013,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,3.0
2013,Number of new cases of HIV,Number,Republika Srpska,8.0
2013,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.561187304
2013,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,251.7
2013,Number of beds in hospitals,Number,Republika Srpska,4565.0
2013,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,320.2275053
2013,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2443.0
2013,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,171.372573
2013,Number of general practitioners,Number,Republika Srpska,685.0
2013,Number of population per general practitioner,Number,Republika Srpska,2081.093431
2013,Number of midwives,Number,Republika Srpska,377.0
2013,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1425549.0
2013,Male population,Number,Republika Srpska,693879.0
2013,Female population,Number,Republika Srpska,731670.0
2013,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,82410.0
2013,Male population,Number,Brčko District of BiH,41191.0
2013,Female population,Number,Brčko District of BiH,41219.0
2014,Number of new cases of cervical cancer,Number,BiH,169.0
2014,Number of new cases of female breast cancer,Number,BiH,208.0
2014,Number of new cases of syphilis,Number,BiH,21.0
2014,Number of new cases of gonorrhea,Number,BiH,1.0
2014,Number of new cases of AIDS clinically diagnosed,Number,BiH,8.0
2014,Number of new cases of HIV,Number,BiH,17.0
2014,Number of caesarean sections,Number,BiH,4730.0
2014,Number of beds in hospitals,Number,BiH,12989.0
2014,Number of medical doctors providing health care in public institutions,Number,BiH,7272.0
2014,Number of general practitioners,Number,BiH,1356.0
2014,Number of midwives,Number,BiH,1116.0
2014,Number of new cases of cervical cancer,Number,FBiH,169.0
2014,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,14.35602605
2014,Number of new cases of female breast cancer,Number,FBiH,208.0
2014,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,17.66895514
2014,Number of new cases of syphilis,Number,FBiH,6.0
2014,Number of new cases of AIDS clinically diagnosed,Number,FBiH,6.0
2014,Number of new cases of HIV,Number,FBiH,15.0
2014,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.641924885
2014,Number of caesarean sections,Number,FBiH,4730.0
2014,"Number of caesarean sections per 1,000 live births",Number,FBiH,240.7
2014,Number of beds in hospitals,Number,FBiH,8361.0
2014,"Number of beds in hospitals per 100,000 population",Number,FBiH,357.8089306
2014,Number of medical doctors providing health care in public institutions,Number,FBiH,4801.0
2014,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,205.458758
2014,Number of general practitioners,Number,FBiH,671.0
2014,Number of population per general practitioner,Number,FBiH,3482.447094
2014,Number of midwives,Number,FBiH,737.0
2014,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2336722.0
2014,Male population,Number,FBiH,1159516.0
2014,Female population,Number,FBiH,1177206.0
2014,Number of new cases of syphilis,Number,Republika Srpska,15.0
2014,Number of new cases of gonorrhea,Number,Republika Srpska,1.0
2014,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,2.0
2014,Number of new cases of HIV,Number,Republika Srpska,2.0
2014,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.140715256
2014,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,237.9
2014,Number of beds in hospitals,Number,Republika Srpska,4628.0
2014,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,325.6151016
2014,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2471.0
2014,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,173.8536983
2014,Number of general practitioners,Number,Republika Srpska,685.0
2014,Number of population per general practitioner,Number,Republika Srpska,2074.905109
2014,Number of midwives,Number,Republika Srpska,379.0
2014,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1421310.0
2014,Male population,Number,Republika Srpska,691725.0
2014,Female population,Number,Republika Srpska,729585.0
2014,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83309.0
2014,Male population,Number,Brčko District of BiH,41119.0
2014,Female population,Number,Brčko District of BiH,42190.0
2015,Number of new cases of cervical cancer,Number,BiH,158.0
2015,Number of new cases of female breast cancer,Number,BiH,538.0
2015,Number of new cases of syphilis,Number,BiH,12.0
2015,Number of new cases of AIDS clinically diagnosed,Number,BiH,6.0
2015,Number of new cases of HIV,Number,BiH,12.0
2015,Number of caesarean sections,Number,BiH,4788.0
2015,Number of beds in hospitals,Number,BiH,12965.0
2015,Number of medical doctors providing health care in public institutions,Number,BiH,7255.0
2015,Number of general practitioners,Number,BiH,1355.0
2015,Number of midwives,Number,BiH,1088.0
2015,Number of new cases of cervical cancer,Number,FBiH,158.0
2015,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,13.4352599
2015,Number of new cases of female breast cancer,Number,FBiH,538.0
2015,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,45.74791031
2015,Number of new cases of syphilis,Number,FBiH,4.0
2015,Number of new cases of AIDS clinically diagnosed,Number,FBiH,4.0
2015,Number of new cases of HIV,Number,FBiH,10.0
2015,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.428385142
2015,Number of caesarean sections,Number,FBiH,4788.0
2015,"Number of caesarean sections per 1,000 live births",Number,FBiH,249.3
2015,Number of beds in hospitals,Number,FBiH,8322.0
2015,"Number of beds in hospitals per 100,000 population",Number,FBiH,356.5021154
2015,Number of medical doctors providing health care in public institutions,Number,FBiH,4764.0
2015,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,204.0826818
2015,Number of general practitioners,Number,FBiH,673.0
2015,Number of population per general practitioner,Number,FBiH,3468.570579
2015,Number of midwives,Number,FBiH,717.0
2015,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2334348.0
2015,Male population,Number,FBiH,1158338.0
2015,Female population,Number,FBiH,1176010.0
2015,Number of new cases of syphilis,Number,Republika Srpska,8.0
2015,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,2.0
2015,Number of new cases of HIV,Number,Republika Srpska,2.0
2015,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.172092751
2015,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,263.7
2015,Number of beds in hospitals,Number,Republika Srpska,4643.0
2015,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,399.5133217
2015,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2491.0
2015,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,214.3415215
2015,Number of general practitioners,Number,Republika Srpska,682.0
2015,Number of population per general practitioner,Number,Republika Srpska,1704.052786
2015,Number of midwives,Number,Republika Srpska,371.0
2015,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1162164.0
2015,Male population,Number,Republika Srpska,567711.0
2015,Female population,Number,Republika Srpska,594453.0
2015,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83236.0
2015,Male population,Number,Brčko District of BiH,41105.0
2015,Female population,Number,Brčko District of BiH,42131.0
2016,Number of new cases of cervical cancer,Number,BiH,407.0
2016,Number of new cases of female breast cancer,Number,BiH,1023.0
2016,Number of new cases of syphilis,Number,BiH,16.0
2016,Number of new cases of gonorrhea,Number,BiH,3.0
2016,Number of new cases of AIDS clinically diagnosed,Number,BiH,7.0
2016,Number of new cases of HIV,Number,BiH,23.0
2016,Number of caesarean sections,Number,BiH,4909.0
2016,Number of beds in hospitals,Number,BiH,12937.0
2016,Number of medical doctors providing health care in public institutions,Number,BiH,7285.0
2016,Number of general practitioners,Number,BiH,1377.0
2016,Number of midwives,Number,BiH,1075.0
2016,Number of new cases of cervical cancer,Number,FBiH,215.0
2016,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,19.12823301
2016,Number of new cases of female breast cancer,Number,FBiH,574.0
2016,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,51.0679337
2016,Number of new cases of syphilis,Number,FBiH,9.0
2016,Number of new cases of AIDS clinically diagnosed,Number,FBiH,4.0
2016,Number of new cases of HIV,Number,FBiH,16.0
2016,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.72521871
2016,Number of caesarean sections,Number,FBiH,4909.0
2016,"Number of caesarean sections per 1,000 live births",Number,FBiH,254.2
2016,Number of beds in hospitals,Number,FBiH,8309.0
2016,"Number of beds in hospitals per 100,000 population",Number,FBiH,376.6151414
2016,Number of medical doctors providing health care in public institutions,Number,FBiH,4755.0
2016,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,215.5259354
2016,Number of general practitioners,Number,FBiH,676.0
2016,Number of population per general practitioner,Number,FBiH,3263.655325
2016,Number of midwives,Number,FBiH,704.0
2016,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2206231.0
2016,Male population,Number,FBiH,1082238.0
2016,Female population,Number,FBiH,1123993.0
2016,Number of new cases of cervical cancer,Number,Republika Srpska,192.0
2016,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,32.42432635
2016,Number of new cases of female breast cancer,Number,Republika Srpska,449.0
2016,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,75.82563819
2016,Number of new cases of syphilis,Number,Republika Srpska,7.0
2016,Number of new cases of gonorrhea,Number,Republika Srpska,3.0
2016,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,3.0
2016,Number of new cases of HIV,Number,Republika Srpska,7.0
2016,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.604743261
2016,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,272.1
2016,Number of beds in hospitals,Number,Republika Srpska,4628.0
2016,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,399.8216871
2016,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2530.0
2016,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,218.5714927
2016,Number of general practitioners,Number,Republika Srpska,701.0
2016,Number of population per general practitioner,Number,Republika Srpska,1651.235378
2016,Number of midwives,Number,Republika Srpska,371.0
2016,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1157516.0
2016,Male population,Number,Republika Srpska,565368.0
2016,Female population,Number,Republika Srpska,592148.0
2016,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83254.0
2016,Male population,Number,Brčko District of BiH,41104.0
2016,Female population,Number,Brčko District of BiH,42150.0
2017,Number of new cases of cervical cancer,Number,BiH,115.0
2017,Number of new cases of female breast cancer,Number,BiH,556.0
2017,Number of new cases of syphilis,Number,BiH,20.0
2017,Number of new cases of gonorrhea,Number,BiH,1.0
2017,Number of new cases of AIDS clinically diagnosed,Number,BiH,3.0
2017,Number of new cases of HIV,Number,BiH,12.0
2017,Number of caesarean sections,Number,BiH,5038.0
2017,Number of beds in hospitals,Number,BiH,12756.0
2017,Number of medical doctors providing health care in public institutions,Number,BiH,7330.0
2017,Number of general practitioners,Number,BiH,1404.0
2017,Number of midwives,Number,BiH,1050.0
2017,Number of new cases of cervical cancer,Number,FBiH,115.0
2017,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,10.258359
2017,Number of new cases of female breast cancer,Number,FBiH,556.0
2017,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,49.59693569
2017,Number of new cases of syphilis,Number,FBiH,9.0
2017,Number of new cases of AIDS clinically diagnosed,Number,FBiH,1.0
2017,Number of new cases of HIV,Number,FBiH,7.0
2017,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.31800937
2017,Number of caesarean sections,Number,FBiH,5038.0
2017,"Number of caesarean sections per 1,000 live births",Number,FBiH,258.6
2017,Number of beds in hospitals,Number,FBiH,8206.0
2017,"Number of beds in hospitals per 100,000 population",Number,FBiH,372.7978419
2017,Number of medical doctors providing health care in public institutions,Number,FBiH,4810.0
2017,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,218.5178674
2017,Number of general practitioners,Number,FBiH,735.0
2017,Number of population per general practitioner,Number,FBiH,2994.820408
2017,Number of midwives,Number,FBiH,687.0
2017,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2201193.0
2017,Male population,Number,FBiH,1080156.0
2017,Female population,Number,FBiH,1121037.0
2017,Number of new cases of syphilis,Number,Republika Srpska,11.0
2017,Number of new cases of gonorrhea,Number,Republika Srpska,1.0
2017,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,2.0
2017,Number of new cases of HIV,Number,Republika Srpska,5.0
2017,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.433644951
2017,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,290.1
2017,Number of beds in hospitals,Number,Republika Srpska,4550.0
2017,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,394.616905
2017,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2520.0
2017,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,218.5570551
2017,Number of general practitioners,Number,Republika Srpska,669.0
2017,Number of population per general practitioner,Number,Republika Srpska,1723.493274
2017,Number of midwives,Number,Republika Srpska,363.0
2017,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1153017.0
2017,Male population,Number,Republika Srpska,563187.0
2017,Female population,Number,Republika Srpska,589830.0
2017,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83243.0
2017,Male population,Number,Brčko District of BiH,41094.0
2017,Female population,Number,Brčko District of BiH,42149.0
2018,Number of new cases of syphilis,Number,BiH,17.0
2018,Number of new cases of gonorrhea,Number,BiH,9.0
2018,Number of new cases of AIDS clinically diagnosed,Number,BiH,12.0
2018,Number of new cases of HIV,Number,BiH,24.0
2018,Number of caesarean sections,Number,BiH,4910.0
2018,Number of beds in hospitals,Number,BiH,13078.0
2018,Number of medical doctors providing health care in public institutions,Number,BiH,7653.0
2018,Number of general practitioners,Number,BiH,1498.0
2018,Number of midwives,Number,BiH,1063.0
2018,Number of new cases of syphilis,Number,FBiH,5.0
2018,Number of new cases of gonorrhea,Number,FBiH,1.0
2018,Number of new cases of AIDS clinically diagnosed,Number,FBiH,7.0
2018,Number of new cases of HIV,Number,FBiH,19.0
2018,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.865117681
2018,Number of caesarean sections,Number,FBiH,4910.0
2018,"Number of caesarean sections per 1,000 live births",Number,FBiH,279.6
2018,Number of beds in hospitals,Number,FBiH,7954.0
2018,"Number of beds in hospitals per 100,000 population",Number,FBiH,362.1655808
2018,Number of medical doctors providing health care in public institutions,Number,FBiH,4922.0
2018,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,224.1110119
2018,Number of general practitioners,Number,FBiH,798.0
2018,Number of population per general practitioner,Number,FBiH,2752.171679
2018,Number of midwives,Number,FBiH,689.0
2018,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2196233.0
2018,Male population,Number,FBiH,1077981.0
2018,Female population,Number,FBiH,1118252.0
2018,Number of new cases of syphilis,Number,Republika Srpska,12.0
2018,Number of new cases of gonorrhea,Number,Republika Srpska,8.0
2018,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,5.0
2018,Number of new cases of HIV,Number,Republika Srpska,5.0
2018,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.435577253
2018,Number of beds in hospitals,Number,Republika Srpska,4820.0
2018,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,419.896472
2018,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2588.0
2018,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,225.4547862
2018,Number of general practitioners,Number,Republika Srpska,670.0
2018,Number of population per general practitioner,Number,Republika Srpska,1713.286567
2018,Number of midwives,Number,Republika Srpska,371.0
2018,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1147902.0
2018,Male population,Number,Republika Srpska,560795.0
2018,Female population,Number,Republika Srpska,587107.0
2018,Number of beds in hospitals,Number,Brčko District of BiH,304.0
2018,"Number of beds in hospitals per 100,000 population",Number,Brčko District of BiH,365.2353605
2018,Number of medical doctors providing health care in public institutions,Number,Brčko District of BiH,143.0
2018,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Brčko District of BiH,171.8047913
2018,Number of general practitioners,Number,Brčko District of BiH,30.0
2018,Number of population per general practitioner,Number,Brčko District of BiH,2774.466667
2018,Number of midwives,Number,Brčko District of BiH,3.0
2018,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83234.0
2018,Male population,Number,Brčko District of BiH,41093.0
2018,Female population,Number,Brčko District of BiH,42141.0
2019,Number of new cases of syphilis,Number,BiH,42.0
2019,Number of new cases of gonorrhea,Number,BiH,10.0
2019,Number of new cases of AIDS clinically diagnosed,Number,BiH,4.0
2019,Number of new cases of HIV,Number,BiH,21.0
2019,Number of beds in hospitals,Number,BiH,7872.0
2019,Number of medical doctors providing health care in public institutions,Number,BiH,5092.0
2019,Number of general practitioners,Number,BiH,873.0
2019,Number of midwives,Number,BiH,701.0
2019,Number of new cases of syphilis,Number,FBiH,42.0
2019,Number of new cases of gonorrhea,Number,FBiH,10.0
2019,Number of new cases of AIDS clinically diagnosed,Number,FBiH,4.0
2019,Number of new cases of HIV,Number,FBiH,21.0
2019,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.958861202
2019,Number of beds in hospitals,Number,FBiH,7872.0
2019,"Number of beds in hospitals per 100,000 population",Number,FBiH,359.4359704
2019,Number of medical doctors providing health care in public institutions,Number,FBiH,5092.0
2019,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,232.5010114
2019,Number of general practitioners,Number,FBiH,873.0
2019,Number of population per general practitioner,Number,FBiH,2508.703322
2019,Number of midwives,Number,FBiH,701.0
2019,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2190098.0
2019,Male population,Number,FBiH,1075017.0
2019,Female population,Number,FBiH,1115081.0
2019,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1142495.0
2019,Male population,Number,Republika Srpska,558093.0
2019,Female population,Number,Republika Srpska,584402.0
2019,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83159.0
2019,Male population,Number,Brčko District of BiH,41061.0
2019,Female population,Number,Brčko District of BiH,42098.0
