Year,health_indicators,UNIT_MEASURE,Ентитет,Value
2011,number_of_new_cases_of_syphilis,Број,Република Српска,25.0
2011,number_of_new_cases_of_gonorrhea,Број,Република Српска,2.0
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,2.0
2011,number_of_new_cases_of_HIV,Број,Република Српска,5.0
2011,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.349731546
2011,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,218.3
2011,number_of_beds_in_hospitals,Број,Република Српска,4403.0
2011,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,307.9735995
2011,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2286.0
2011,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,159.8972629
2011,number_of_general_practitioners,Број,Република Српска,663.0
2011,number_of_population_per_general_practitioner,Број,Република Српска,2156.361991
2011,number_of_midwives,Број,Република Српска,390.0
2011,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1429668.0
2011,male_population,Број,Република Српска,695884.0
2011,female_population,Број,Република Српска,733784.0
2011,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83723.0
2011,male_population,Број,Брчко Дистрикт БиХ,41441.0
2011,female_population,Број,Брчко Дистрикт БиХ,42282.0
2012,number_of_new_cases_of_cervical_cancer,Број,BiH,174.0
2012,number_of_new_cases_of_female_breast_cancer,Број,BiH,488.0
2012,number_of_new_cases_of_syphilis,Број,BiH,18.0
2012,number_of_new_cases_of_gonorrhea,Број,BiH,4.0
2012,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,4.0
2012,number_of_new_cases_of_HIV,Број,BiH,25.0
2012,number_of_caesarean_sections,Број,BiH,4823.0
2012,number_of_beds_in_hospitals,Број,BiH,13107.0
2012,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,6874.0
2012,number_of_general_practitioners,Број,BiH,1274.0
2012,number_of_midwives,Број,BiH,1244.0
2012,number_of_new_cases_of_cervical_cancer,Број,FBiH,174.0
2012,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,14.77548899
2012,number_of_new_cases_of_female_breast_cancer,Број,FBiH,488.0
2012,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,41.43930246
2012,number_of_new_cases_of_syphilis,Број,FBiH,6.0
2012,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,3.0
2012,number_of_new_cases_of_HIV,Број,FBiH,17.0
2012,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.727031057
2012,number_of_caesarean_sections,Број,FBiH,4823.0
2012,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,232.3
2012,number_of_beds_in_hospitals,Број,FBiH,8549.0
2012,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,365.6110888
2012,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4519.0
2012,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,193.2619617
2012,number_of_general_practitioners,Број,FBiH,593.0
2012,number_of_population_per_general_practitioner,Број,FBiH,3943.131535
2012,number_of_midwives,Број,FBiH,847.0
2012,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2338277.0
2012,male_population,Број,FBiH,1160651.0
2012,female_population,Број,FBiH,1177626.0
2012,number_of_new_cases_of_syphilis,Број,Република Српска,12.0
2012,number_of_new_cases_of_gonorrhea,Број,Република Српска,4.0
2012,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,1.0
2012,number_of_new_cases_of_HIV,Број,Република Српска,8.0
2012,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.559718462
2012,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,226.9
2012,number_of_beds_in_hospitals,Број,Република Српска,4558.0
2012,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,318.8995935
2012,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2355.0
2012,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,164.7671221
2012,number_of_general_practitioners,Број,Република Српска,681.0
2012,number_of_population_per_general_practitioner,Број,Република Српска,2098.810573
2012,number_of_midwives,Број,Република Српска,397.0
2012,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1429290.0
2012,male_population,Број,Република Српска,695700.0
2012,female_population,Број,Република Српска,733590.0
2012,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83516.0
2012,male_population,Број,Брчко Дистрикт БиХ,41235.0
2012,female_population,Број,Брчко Дистрикт БиХ,42281.0
2013,number_of_new_cases_of_cervical_cancer,Број,BiH,99.0
2013,number_of_new_cases_of_female_breast_cancer,Број,BiH,307.0
2013,number_of_new_cases_of_syphilis,Број,BiH,14.0
2013,number_of_new_cases_of_gonorrhea,Број,BiH,3.0
2013,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,7.0
2013,number_of_new_cases_of_HIV,Број,BiH,24.0
2013,number_of_caesarean_sections,Број,BiH,4597.0
2013,number_of_beds_in_hospitals,Број,BiH,12748.0
2013,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,7068.0
2013,number_of_general_practitioners,Број,BiH,1350.0
2013,number_of_midwives,Број,BiH,1132.0
2013,number_of_new_cases_of_cervical_cancer,Број,FBiH,99.0
2013,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,8.410614705
2013,number_of_new_cases_of_female_breast_cancer,Број,FBiH,307.0
2013,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,26.08140116
2013,number_of_new_cases_of_syphilis,Број,FBiH,5.0
2013,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,4.0
2013,number_of_new_cases_of_HIV,Број,FBiH,16.0
2013,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.684579839
2013,number_of_caesarean_sections,Број,FBiH,4597.0
2013,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,235.1
2013,number_of_beds_in_hospitals,Број,FBiH,8183.0
2013,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,350.1198015
2013,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4625.0
2013,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,197.8863597
2013,number_of_general_practitioners,Број,FBiH,665.0
2013,number_of_population_per_general_practitioner,Број,FBiH,3514.586466
2013,number_of_midwives,Број,FBiH,755.0
2013,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2337200.0
2013,male_population,Број,FBiH,1160116.0
2013,female_population,Број,FBiH,1177084.0
2013,number_of_new_cases_of_syphilis,Број,Република Српска,9.0
2013,number_of_new_cases_of_gonorrhea,Број,Република Српска,3.0
2013,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,3.0
2013,number_of_new_cases_of_HIV,Број,Република Српска,8.0
2013,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.561187304
2013,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,251.7
2013,number_of_beds_in_hospitals,Број,Република Српска,4565.0
2013,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,320.2275053
2013,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2443.0
2013,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,171.372573
2013,number_of_general_practitioners,Број,Република Српска,685.0
2013,number_of_population_per_general_practitioner,Број,Република Српска,2081.093431
2013,number_of_midwives,Број,Република Српска,377.0
2013,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1425549.0
2013,male_population,Број,Република Српска,693879.0
2013,female_population,Број,Република Српска,731670.0
2013,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,82410.0
2013,male_population,Број,Брчко Дистрикт БиХ,41191.0
2013,female_population,Број,Брчко Дистрикт БиХ,41219.0
2014,number_of_new_cases_of_cervical_cancer,Број,BiH,169.0
2014,number_of_new_cases_of_female_breast_cancer,Број,BiH,208.0
2014,number_of_new_cases_of_syphilis,Број,BiH,21.0
2014,number_of_new_cases_of_gonorrhea,Број,BiH,1.0
2014,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,8.0
2014,number_of_new_cases_of_HIV,Број,BiH,17.0
2014,number_of_caesarean_sections,Број,BiH,4730.0
2014,number_of_beds_in_hospitals,Број,BiH,12989.0
2014,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,7272.0
2014,number_of_general_practitioners,Број,BiH,1356.0
2014,number_of_midwives,Број,BiH,1116.0
2014,number_of_new_cases_of_cervical_cancer,Број,FBiH,169.0
2014,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,14.35602605
2014,number_of_new_cases_of_female_breast_cancer,Број,FBiH,208.0
2014,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,17.66895514
2014,number_of_new_cases_of_syphilis,Број,FBiH,6.0
2014,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,6.0
2014,number_of_new_cases_of_HIV,Број,FBiH,15.0
2014,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.641924885
2014,number_of_caesarean_sections,Број,FBiH,4730.0
2014,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,240.7
2014,number_of_beds_in_hospitals,Број,FBiH,8361.0
2014,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,357.8089306
2014,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4801.0
2014,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,205.458758
2014,number_of_general_practitioners,Број,FBiH,671.0
2014,number_of_population_per_general_practitioner,Број,FBiH,3482.447094
2014,number_of_midwives,Број,FBiH,737.0
2014,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2336722.0
2014,male_population,Број,FBiH,1159516.0
2014,female_population,Број,FBiH,1177206.0
2014,number_of_new_cases_of_syphilis,Број,Република Српска,15.0
2014,number_of_new_cases_of_gonorrhea,Број,Република Српска,1.0
2014,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,2.0
2014,number_of_new_cases_of_HIV,Број,Република Српска,2.0
2014,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.140715256
2014,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,237.9
2014,number_of_beds_in_hospitals,Број,Република Српска,4628.0
2014,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,325.6151016
2014,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2471.0
2014,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,173.8536983
2014,number_of_general_practitioners,Број,Република Српска,685.0
2014,number_of_population_per_general_practitioner,Број,Република Српска,2074.905109
2014,number_of_midwives,Број,Република Српска,379.0
2014,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1421310.0
2014,male_population,Број,Република Српска,691725.0
2014,female_population,Број,Република Српска,729585.0
2014,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83309.0
2014,male_population,Број,Брчко Дистрикт БиХ,41119.0
2014,female_population,Број,Брчко Дистрикт БиХ,42190.0
2015,number_of_new_cases_of_cervical_cancer,Број,BiH,158.0
2015,number_of_new_cases_of_female_breast_cancer,Број,BiH,538.0
2015,number_of_new_cases_of_syphilis,Број,BiH,12.0
2015,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,6.0
2015,number_of_new_cases_of_HIV,Број,BiH,12.0
2015,number_of_caesarean_sections,Број,BiH,4788.0
2015,number_of_beds_in_hospitals,Број,BiH,12965.0
2015,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,7255.0
2015,number_of_general_practitioners,Број,BiH,1355.0
2015,number_of_midwives,Број,BiH,1088.0
2015,number_of_new_cases_of_cervical_cancer,Број,FBiH,158.0
2015,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,13.4352599
2015,number_of_new_cases_of_female_breast_cancer,Број,FBiH,538.0
2015,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,45.74791031
2015,number_of_new_cases_of_syphilis,Број,FBiH,4.0
2015,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,4.0
2015,number_of_new_cases_of_HIV,Број,FBiH,10.0
2015,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.428385142
2015,number_of_caesarean_sections,Број,FBiH,4788.0
2015,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,249.3
2015,number_of_beds_in_hospitals,Број,FBiH,8322.0
2015,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,356.5021154
2015,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4764.0
2015,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,204.0826818
2015,number_of_general_practitioners,Број,FBiH,673.0
2015,number_of_population_per_general_practitioner,Број,FBiH,3468.570579
2015,number_of_midwives,Број,FBiH,717.0
2015,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2334348.0
2015,male_population,Број,FBiH,1158338.0
2015,female_population,Број,FBiH,1176010.0
2015,number_of_new_cases_of_syphilis,Број,Република Српска,8.0
2015,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,2.0
2015,number_of_new_cases_of_HIV,Број,Република Српска,2.0
2015,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.172092751
2015,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,263.7
2015,number_of_beds_in_hospitals,Број,Република Српска,4643.0
2015,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,399.5133217
2015,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2491.0
2015,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,214.3415215
2015,number_of_general_practitioners,Број,Република Српска,682.0
2015,number_of_population_per_general_practitioner,Број,Република Српска,1704.052786
2015,number_of_midwives,Број,Република Српска,371.0
2015,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1162164.0
2015,male_population,Број,Република Српска,567711.0
2015,female_population,Број,Република Српска,594453.0
2015,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83236.0
2015,male_population,Број,Брчко Дистрикт БиХ,41105.0
2015,female_population,Број,Брчко Дистрикт БиХ,42131.0
2016,number_of_new_cases_of_cervical_cancer,Број,BiH,407.0
2016,number_of_new_cases_of_female_breast_cancer,Број,BiH,1023.0
2016,number_of_new_cases_of_syphilis,Број,BiH,16.0
2016,number_of_new_cases_of_gonorrhea,Број,BiH,3.0
2016,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,7.0
2016,number_of_new_cases_of_HIV,Број,BiH,23.0
2016,number_of_caesarean_sections,Број,BiH,4909.0
2016,number_of_beds_in_hospitals,Број,BiH,12937.0
2016,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,7285.0
2016,number_of_general_practitioners,Број,BiH,1377.0
2016,number_of_midwives,Број,BiH,1075.0
2016,number_of_new_cases_of_cervical_cancer,Број,FBiH,215.0
2016,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,19.12823301
2016,number_of_new_cases_of_female_breast_cancer,Број,FBiH,574.0
2016,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,51.0679337
2016,number_of_new_cases_of_syphilis,Број,FBiH,9.0
2016,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,4.0
2016,number_of_new_cases_of_HIV,Број,FBiH,16.0
2016,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.72521871
2016,number_of_caesarean_sections,Број,FBiH,4909.0
2016,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,254.2
2016,number_of_beds_in_hospitals,Број,FBiH,8309.0
2016,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,376.6151414
2016,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4755.0
2016,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,215.5259354
2016,number_of_general_practitioners,Број,FBiH,676.0
2016,number_of_population_per_general_practitioner,Број,FBiH,3263.655325
2016,number_of_midwives,Број,FBiH,704.0
2016,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2206231.0
2016,male_population,Број,FBiH,1082238.0
2016,female_population,Број,FBiH,1123993.0
2016,number_of_new_cases_of_cervical_cancer,Број,Република Српска,192.0
2016,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,32.42432635
2016,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,449.0
2016,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,75.82563819
2016,number_of_new_cases_of_syphilis,Број,Република Српска,7.0
2016,number_of_new_cases_of_gonorrhea,Број,Република Српска,3.0
2016,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,3.0
2016,number_of_new_cases_of_HIV,Број,Република Српска,7.0
2016,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.604743261
2016,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,272.1
2016,number_of_beds_in_hospitals,Број,Република Српска,4628.0
2016,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,399.8216871
2016,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2530.0
2016,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,218.5714927
2016,number_of_general_practitioners,Број,Република Српска,701.0
2016,number_of_population_per_general_practitioner,Број,Република Српска,1651.235378
2016,number_of_midwives,Број,Република Српска,371.0
2016,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1157516.0
2016,male_population,Број,Република Српска,565368.0
2016,female_population,Број,Република Српска,592148.0
2016,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83254.0
2016,male_population,Број,Брчко Дистрикт БиХ,41104.0
2016,female_population,Број,Брчко Дистрикт БиХ,42150.0
2017,number_of_new_cases_of_cervical_cancer,Број,BiH,115.0
2017,number_of_new_cases_of_female_breast_cancer,Број,BiH,556.0
2017,number_of_new_cases_of_syphilis,Број,BiH,20.0
2017,number_of_new_cases_of_gonorrhea,Број,BiH,1.0
2017,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,3.0
2017,number_of_new_cases_of_HIV,Број,BiH,12.0
2017,number_of_caesarean_sections,Број,BiH,5038.0
2017,number_of_beds_in_hospitals,Број,BiH,12756.0
2017,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,7330.0
2017,number_of_general_practitioners,Број,BiH,1404.0
2017,number_of_midwives,Број,BiH,1050.0
2017,number_of_new_cases_of_cervical_cancer,Број,FBiH,115.0
2017,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,10.258359
2017,number_of_new_cases_of_female_breast_cancer,Број,FBiH,556.0
2017,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,49.59693569
2017,number_of_new_cases_of_syphilis,Број,FBiH,9.0
2017,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,1.0
2017,number_of_new_cases_of_HIV,Број,FBiH,7.0
2017,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.31800937
2017,number_of_caesarean_sections,Број,FBiH,5038.0
2017,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,258.6
2017,number_of_beds_in_hospitals,Број,FBiH,8206.0
2017,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,372.7978419
2017,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4810.0
2017,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,218.5178674
2017,number_of_general_practitioners,Број,FBiH,735.0
2017,number_of_population_per_general_practitioner,Број,FBiH,2994.820408
2017,number_of_midwives,Број,FBiH,687.0
2017,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2201193.0
2017,male_population,Број,FBiH,1080156.0
2017,female_population,Број,FBiH,1121037.0
2017,number_of_new_cases_of_syphilis,Број,Република Српска,11.0
2017,number_of_new_cases_of_gonorrhea,Број,Република Српска,1.0
2017,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,2.0
2017,number_of_new_cases_of_HIV,Број,Република Српска,5.0
2017,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.433644951
2017,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,290.1
2017,number_of_beds_in_hospitals,Број,Република Српска,4550.0
2017,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,394.616905
2017,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2520.0
2017,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,218.5570551
2017,number_of_general_practitioners,Број,Република Српска,669.0
2017,number_of_population_per_general_practitioner,Број,Република Српска,1723.493274
2017,number_of_midwives,Број,Република Српска,363.0
2017,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1153017.0
2017,male_population,Број,Република Српска,563187.0
2017,female_population,Број,Република Српска,589830.0
2017,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83243.0
2017,male_population,Број,Брчко Дистрикт БиХ,41094.0
2017,female_population,Број,Брчко Дистрикт БиХ,42149.0
2018,number_of_new_cases_of_syphilis,Број,BiH,17.0
2018,number_of_new_cases_of_gonorrhea,Број,BiH,9.0
2018,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,12.0
2018,number_of_new_cases_of_HIV,Број,BiH,24.0
2018,number_of_caesarean_sections,Број,BiH,4910.0
2018,number_of_beds_in_hospitals,Број,BiH,13078.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,7653.0
2018,number_of_general_practitioners,Број,BiH,1498.0
2018,number_of_midwives,Број,BiH,1063.0
2018,number_of_new_cases_of_syphilis,Број,FBiH,5.0
2018,number_of_new_cases_of_gonorrhea,Број,FBiH,1.0
2018,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,7.0
2018,number_of_new_cases_of_HIV,Број,FBiH,19.0
2018,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.865117681
2018,number_of_caesarean_sections,Број,FBiH,4910.0
2018,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,279.6
2018,number_of_beds_in_hospitals,Број,FBiH,7954.0
2018,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,362.1655808
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4922.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,224.1110119
2018,number_of_general_practitioners,Број,FBiH,798.0
2018,number_of_population_per_general_practitioner,Број,FBiH,2752.171679
2018,number_of_midwives,Број,FBiH,689.0
2018,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2196233.0
2018,male_population,Број,FBiH,1077981.0
2018,female_population,Број,FBiH,1118252.0
2018,number_of_new_cases_of_syphilis,Број,Република Српска,12.0
2018,number_of_new_cases_of_gonorrhea,Број,Република Српска,8.0
2018,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,5.0
2018,number_of_new_cases_of_HIV,Број,Република Српска,5.0
2018,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.435577253
2018,number_of_beds_in_hospitals,Број,Република Српска,4820.0
2018,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,419.896472
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2588.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,225.4547862
2018,number_of_general_practitioners,Број,Република Српска,670.0
2018,number_of_population_per_general_practitioner,Број,Република Српска,1713.286567
2018,number_of_midwives,Број,Република Српска,371.0
2018,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1147902.0
2018,male_population,Број,Република Српска,560795.0
2018,female_population,Број,Република Српска,587107.0
2018,number_of_beds_in_hospitals,Број,Брчко Дистрикт БиХ,304.0
2018,number_of_beds_in_hospitals_per_100000_population,Број,Брчко Дистрикт БиХ,365.2353605
2018,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Брчко Дистрикт БиХ,143.0
2018,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Брчко Дистрикт БиХ,171.8047913
2018,number_of_general_practitioners,Број,Брчко Дистрикт БиХ,30.0
2018,number_of_population_per_general_practitioner,Број,Брчко Дистрикт БиХ,2774.466667
2018,number_of_midwives,Број,Брчко Дистрикт БиХ,3.0
2018,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83234.0
2018,male_population,Број,Брчко Дистрикт БиХ,41093.0
2018,female_population,Број,Брчко Дистрикт БиХ,42141.0
2019,number_of_new_cases_of_syphilis,Број,BiH,42.0
2019,number_of_new_cases_of_gonorrhea,Број,BiH,10.0
2019,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,4.0
2019,number_of_new_cases_of_HIV,Број,BiH,21.0
2019,number_of_beds_in_hospitals,Број,BiH,7872.0
2019,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,5092.0
2019,number_of_general_practitioners,Број,BiH,873.0
2019,number_of_midwives,Број,BiH,701.0
2019,number_of_new_cases_of_syphilis,Број,FBiH,42.0
2019,number_of_new_cases_of_gonorrhea,Број,FBiH,10.0
2019,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,4.0
2019,number_of_new_cases_of_HIV,Број,FBiH,21.0
2019,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.958861202
2019,number_of_beds_in_hospitals,Број,FBiH,7872.0
2019,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,359.4359704
2019,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,5092.0
2019,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,232.5010114
2019,number_of_general_practitioners,Број,FBiH,873.0
2019,number_of_population_per_general_practitioner,Број,FBiH,2508.703322
2019,number_of_midwives,Број,FBiH,701.0
2019,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2190098.0
2019,male_population,Број,FBiH,1075017.0
2019,female_population,Број,FBiH,1115081.0
2019,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1142495.0
2019,male_population,Број,Република Српска,558093.0
2019,female_population,Број,Република Српска,584402.0
2019,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83159.0
2019,male_population,Број,Брчко Дистрикт БиХ,41061.0
2019,female_population,Број,Брчко Дистрикт БиХ,42098.0
