Year,UNIT_MEASURE,Spol,Entitet,Births,Value
2015,Broj,Oba spola,Brčko Distrikt BiH,Live birth,932
2016,Broj,Oba spola,Brčko Distrikt BiH,Live birth,878
2017,Broj,Oba spola,Brčko Distrikt BiH,Live birth,898
2018,Broj,Oba spola,Brčko Distrikt BiH,Live birth,861
2019,Broj,Oba spola,Brčko Distrikt BiH,Live birth,899
2002,Broj,Muškarci,Brčko Distrikt BiH,Live birth,507
2003,Broj,Muškarci,Brčko Distrikt BiH,Live birth,501
2004,Broj,Muškarci,Brčko Distrikt BiH,Live birth,469
2005,Broj,Muškarci,Brčko Distrikt BiH,Live birth,506
2006,Broj,Muškarci,Brčko Distrikt BiH,Live birth,480
2007,Broj,Muškarci,Brčko Distrikt BiH,Live birth,504
2008,Broj,Muškarci,Brčko Distrikt BiH,Live birth,511
2009,Broj,Muškarci,Brčko Distrikt BiH,Live birth,496
2010,Broj,Muškarci,Brčko Distrikt BiH,Live birth,488
2011,Broj,Muškarci,Brčko Distrikt BiH,Live birth,448
2012,Broj,Muškarci,Brčko Distrikt BiH,Live birth,481
2013,Broj,Muškarci,Brčko Distrikt BiH,Live birth,476
2014,Broj,Muškarci,Brčko Distrikt BiH,Live birth,499
2015,Broj,Muškarci,Brčko Distrikt BiH,Live birth,514
2016,Broj,Muškarci,Brčko Distrikt BiH,Live birth,472
2017,Broj,Muškarci,Brčko Distrikt BiH,Live birth,472
2018,Broj,Muškarci,Brčko Distrikt BiH,Live birth,448
2019,Broj,Muškarci,Brčko Distrikt BiH,Live birth,456
2002,Broj,Žene,Brčko Distrikt BiH,Live birth,391
2003,Broj,Žene,Brčko Distrikt BiH,Live birth,486
2004,Broj,Žene,Brčko Distrikt BiH,Live birth,515
2005,Broj,Žene,Brčko Distrikt BiH,Live birth,471
2006,Broj,Žene,Brčko Distrikt BiH,Live birth,432
2007,Broj,Žene,Brčko Distrikt BiH,Live birth,472
2008,Broj,Žene,Brčko Distrikt BiH,Live birth,394
2009,Broj,Žene,Brčko Distrikt BiH,Live birth,437
2010,Broj,Žene,Brčko Distrikt BiH,Live birth,428
2011,Broj,Žene,Brčko Distrikt BiH,Live birth,457
2012,Broj,Žene,Brčko Distrikt BiH,Live birth,483
2013,Broj,Žene,Brčko Distrikt BiH,Live birth,420
2014,Broj,Žene,Brčko Distrikt BiH,Live birth,420
2015,Broj,Žene,Brčko Distrikt BiH,Live birth,418
2016,Broj,Žene,Brčko Distrikt BiH,Live birth,406
2017,Broj,Žene,Brčko Distrikt BiH,Live birth,426
2018,Broj,Žene,Brčko Distrikt BiH,Live birth,413
2019,Broj,Žene,Brčko Distrikt BiH,Live birth,443
2002,Broj,Oba spola,Brčko Distrikt BiH,Deaths,676
2003,Broj,Oba spola,Brčko Distrikt BiH,Deaths,771
2004,Broj,Oba spola,Brčko Distrikt BiH,Deaths,791
2005,Broj,Oba spola,Brčko Distrikt BiH,Deaths,830
2006,Broj,Oba spola,Brčko Distrikt BiH,Deaths,742
2007,Broj,Oba spola,Brčko Distrikt BiH,Deaths,818
2008,Broj,Oba spola,Brčko Distrikt BiH,Deaths,890
2009,Broj,Oba spola,Brčko Distrikt BiH,Deaths,912
2010,Broj,Oba spola,Brčko Distrikt BiH,Deaths,906
2011,Broj,Oba spola,Brčko Distrikt BiH,Deaths,954
2012,Broj,Oba spola,Brčko Distrikt BiH,Deaths,923
2013,Broj,Oba spola,Brčko Distrikt BiH,Deaths,936
2014,Broj,Oba spola,Brčko Distrikt BiH,Deaths,1000
2015,Broj,Oba spola,Brčko Distrikt BiH,Deaths,1114
2016,Broj,Oba spola,Brčko Distrikt BiH,Deaths,990
2017,Broj,Oba spola,Brčko Distrikt BiH,Deaths,1101
2018,Broj,Oba spola,Brčko Distrikt BiH,Deaths,1032
2019,Broj,Oba spola,Brčko Distrikt BiH,Deaths,1132
2002,Broj,Muškarci,Brčko Distrikt BiH,Deaths,386
2003,Broj,Muškarci,Brčko Distrikt BiH,Deaths,425
2004,Broj,Muškarci,Brčko Distrikt BiH,Deaths,407
2005,Broj,Muškarci,Brčko Distrikt BiH,Deaths,429
2006,Broj,Muškarci,Brčko Distrikt BiH,Deaths,399
2007,Broj,Muškarci,Brčko Distrikt BiH,Deaths,427
2008,Broj,Muškarci,Brčko Distrikt BiH,Deaths,464
2009,Broj,Muškarci,Brčko Distrikt BiH,Deaths,483
2010,Broj,Muškarci,Brčko Distrikt BiH,Deaths,493
2011,Broj,Muškarci,Brčko Distrikt BiH,Deaths,480
2012,Broj,Muškarci,Brčko Distrikt BiH,Deaths,508
2013,Broj,Muškarci,Brčko Distrikt BiH,Deaths,474
2014,Broj,Muškarci,Brčko Distrikt BiH,Deaths,515
2015,Broj,Muškarci,Brčko Distrikt BiH,Deaths,557
2016,Broj,Muškarci,Brčko Distrikt BiH,Deaths,508
2017,Broj,Muškarci,Brčko Distrikt BiH,Deaths,553
2018,Broj,Muškarci,Brčko Distrikt BiH,Deaths,515
2019,Broj,Muškarci,Brčko Distrikt BiH,Deaths,565
2002,Broj,Žene,Brčko Distrikt BiH,Deaths,290
2003,Broj,Žene,Brčko Distrikt BiH,Deaths,346
2004,Broj,Žene,Brčko Distrikt BiH,Deaths,384
2005,Broj,Žene,Brčko Distrikt BiH,Deaths,401
2006,Broj,Žene,Brčko Distrikt BiH,Deaths,343
2007,Broj,Žene,Brčko Distrikt BiH,Deaths,391
2008,Broj,Žene,Brčko Distrikt BiH,Deaths,426
2009,Broj,Žene,Brčko Distrikt BiH,Deaths,429
2010,Broj,Žene,Brčko Distrikt BiH,Deaths,413
2011,Broj,Žene,Brčko Distrikt BiH,Deaths,474
2012,Broj,Žene,Brčko Distrikt BiH,Deaths,415
2013,Broj,Žene,Brčko Distrikt BiH,Deaths,462
2014,Broj,Žene,Brčko Distrikt BiH,Deaths,485
2015,Broj,Žene,Brčko Distrikt BiH,Deaths,557
2016,Broj,Žene,Brčko Distrikt BiH,Deaths,482
2017,Broj,Žene,Brčko Distrikt BiH,Deaths,548
2018,Broj,Žene,Brčko Distrikt BiH,Deaths,517
2019,Broj,Žene,Brčko Distrikt BiH,Deaths,567
2002,Broj,Oba spola,Brčko Distrikt BiH,Natural change,222
2003,Broj,Oba spola,Brčko Distrikt BiH,Natural change,216
2004,Broj,Oba spola,Brčko Distrikt BiH,Natural change,193
2005,Broj,Oba spola,Brčko Distrikt BiH,Natural change,147
2006,Broj,Oba spola,Brčko Distrikt BiH,Natural change,170
2007,Broj,Oba spola,Brčko Distrikt BiH,Natural change,158
2008,Broj,Oba spola,Brčko Distrikt BiH,Natural change,15
2009,Broj,Oba spola,Brčko Distrikt BiH,Natural change,21
2010,Broj,Oba spola,Brčko Distrikt BiH,Natural change,10
2011,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-49
2012,Broj,Oba spola,Brčko Distrikt BiH,Natural change,41
2013,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-40
2014,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-81
2015,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-182
2016,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-112
2017,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-203
2018,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-171
2019,Broj,Oba spola,Brčko Distrikt BiH,Natural change,-233
